date,ticker,mom_1m,mom_3m,momentum_score
2026-03-12,TSLA,-0.071024,-0.112676,-0.634413
2026-03-13,NKE,-0.128496,-0.174065,-0.995983
2026-03-13,TGT,0.02382,0.252731,1.221621
2026-03-13,DIS,-0.081669,-0.081487,-0.462156
2026-03-13,SBUX,0.006754,0.190094,0.916414
2026-03-13,TSLA,-0.086557,-0.133459,-0.679895
2026-03-16,NKE,-0.097321,-0.185803,-1.066451
2026-03-16,TGT,0.03869,0.219351,1.227024
2026-03-16,DIS,-0.036335,-0.10885,-0.481862
2026-03-16,SBUX,0.017474,0.161799,0.893205
2026-03-16,TSLA,-0.051574,-0.114861,-0.571916
2026-03-17,NKE,-0.121086,-0.177622,-1.105726
2026-03-17,TGT,0.008639,0.214826,1.129492
2026-03-17,DIS,-0.048838,-0.095174,-0.443534
2026-03-17,SBUX,0.040303,0.150547,0.989881
2026-03-17,TSLA,-0.043527,-0.130055,-0.570113
2026-03-18,NKE,-0.169625,-0.205888,-1.23381
2026-03-18,TGT,-0.012785,0.191268,1.261653
2026-03-18,DIS,-0.057094,-0.10019,-0.250803
2026-03-18,SBUX,-0.028619,0.092009,0.743218
2026-03-18,TSLA,-0.04347,-0.173634,-0.520259
2026-03-19,NKE,-0.179333,-0.198529,-1.061272
2026-03-19,TGT,-0.010289,0.183928,1.130346
2026-03-19,DIS,-0.073763,-0.11127,-0.294985
2026-03-19,SBUX,0.000731,0.133615,0.974201
2026-03-19,TSLA,-0.075416,-0.223687,-0.748289
2026-03-20,NKE,-0.1965,-0.197479,-1.117278
2026-03-20,TGT,-0.02075,0.160364,1.185914
2026-03-20,DIS,-0.061226,-0.100515,-0.114851
2026-03-20,SBUX,-0.033925,0.093144,0.838902
2026-03-20,TSLA,-0.106264,-0.212516,-0.792687
2026-03-23,NKE,-0.188687,-0.19153,-1.095581
2026-03-23,TGT,-0.015083,0.172124,1.331761
2026-03-23,DIS,-0.072268,-0.12443,-0.266437
2026-03-23,SBUX,-0.037542,0.056085,0.706022
2026-03-23,TSLA,-0.075203,-0.212094,-0.675765
2026-03-24,NKE,-0.146536,-0.082864,-0.687484
2026-03-24,TGT,0.022763,0.194765,1.515738
2026-03-24,DIS,-0.076813,-0.133495,-0.593364
2026-03-24,SBUX,-0.029542,0.048038,0.534567
2026-03-24,TSLA,-0.042018,-0.204011,-0.769457
2026-03-25,NKE,-0.167863,-0.067954,-0.637719
2026-03-25,TGT,0.007358,0.234806,1.479947
2026-03-25,DIS,-0.095238,-0.1462,-0.662623
2026-03-25,SBUX,-0.039478,0.082718,0.598628
2026-03-25,TSLA,-0.057233,-0.2103,-0.778233
2026-03-26,NKE,-0.173255,-0.08588,-0.570753
2026-03-26,TGT,0.004809,0.25334,1.486342
2026-03-26,DIS,-0.098049,-0.163134,-0.578892
2026-03-26,SBUX,-0.068518,0.09478,0.564192
2026-03-26,TSLA,-0.108505,-0.233648,-0.900889
2026-03-27,NKE,-0.191384,-0.138151,-0.606479
2026-03-27,TGT,0.043993,0.254106,1.636971
2026-03-27,DIS,-0.124396,-0.192697,-0.562008
2026-03-27,SBUX,-0.114906,0.033107,0.27904
2026-03-27,TSLA,-0.114421,-0.254574,-0.747525
2026-03-30,NKE,-0.170471,-0.153453,-0.635081
2026-03-30,TGT,0.043853,0.205304,1.623281
2026-03-30,DIS,-0.110524,-0.169426,-0.461792
2026-03-30,SBUX,-0.115283,0.025849,0.288985
2026-03-30,TSLA,-0.117339,-0.252341,-0.815393
2026-03-31,NKE,-0.13424,-0.131341,-0.680243
2026-03-31,TGT,0.070955,0.248039,1.633603
2026-03-31,DIS,-0.076201,-0.155968,-0.54799
2026-03-31,SBUX,-0.074101,0.053731,0.290344
2026-03-31,TSLA,-0.078275,-0.191215,-0.695714
2026-04-01,NKE,-0.248527,-0.265791,-1.340537
2026-04-01,TGT,-0.002897,0.248845,1.351906
2026-04-01,DIS,-0.065247,-0.158812,-0.312599
2026-04-01,SBUX,-0.064646,0.067603,0.491366
2026-04-01,TSLA,-0.028464,-0.161015,-0.190135
2026-04-02,NKE,-0.246419,-0.301784,-1.265487
2026-04-02,TGT,0.003081,0.244757,1.347293
2026-04-02,DIS,-0.062403,-0.150831,-0.166044
2026-04-02,SBUX,-0.069789,0.080071,0.567583
2026-04-02,TSLA,-0.111716,-0.19819,-0.483344
2026-04-06,NKE,-0.241124,-0.299585,-1.250053
2026-04-06,TGT,0.015371,0.228265,1.226911
2026-04-06,DIS,-0.059857,-0.139204,-0.17113
